,nom,soustitre,classe,Utilisation,dosage,avertissement
567,Lipitor,atorvastatin,Statins,"['Lipitor is used together with diet, weight loss, and exercise to reduce the risk of heart attack and stroke and to decrease the chance that heart surgery will be needed in people who have heart disease or who are at risk of developing heart disease.', ""Lipitor is also used to lower the amount of fatty substances such as low-density lipoprotein (LDL) cholesterol ('bad cholesterol') and triglycerides in the blood and to increase the amount of high-density lipoprotein (HDL) cholesterol ('good cholesterol') in the blood."", 'Lipitor may also be used to decrease the amount of cholesterol and other fatty substances in the blood in children and teenagers 10 to 17 years of age who have familial heterozygous hypercholesterolemia (an inherited condition in which cholesterol cannot be removed from the body normally).', 'Lipitor (atorvastatin) belongs to a class of medications called HMG-CoA reductase inhibitors (statins). It works by slowing the production of cholesterol in the body to decrease the amount of cholesterol that may build up on the walls of the arteries and block blood flow to the heart, brain, and other parts of the body.', 'Accumulation of cholesterol and fats along the walls of your arteries (a process known as atherosclerosis) decreases blood flow and, therefore, the oxygen supply to your heart, brain, and other parts of your body. Lowering your blood level of cholesterol and fats with Lipitor has been shown to prevent heart disease, angina (chest pain), strokes, and heart attacks.']","['Take Lipitor exactly as prescribed by your doctor. Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose.', ""Do not change your dose or stop taking any of your medications without your doctor's advice."", ""Lipitor is usually taken once per day. Follow your doctor's instructions."", 'You may take Lipitor tablets with or without food.', 'It may take up to 2 weeks before your cholesterol levels improve, and you may need frequent blood tests. Even if you have no symptoms, tests can help your doctor determine if Lipitor is effective.', 'Your treatment may also include diet, exercise, weight control, and blood tests.', 'Store at room temperature away from moisture, heat, and light.', 'Take the medicine as soon as you can, but skip the missed dose if you are more than 12 hours late for the dose. Do not take two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['You should not take Lipitor if you have liver disease or cirrhosis.', 'Lipitor can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark urine.', 'Serious drug interactions can occur when certain medicines are used together with Lipitor. Tell each of your healthcare providers about all medicines you use now, and any medicine you start or stop using.', 'Avoid eating foods that are high in fat or cholesterol. Lipitor will not be as effective in lowering your cholesterol if you do not follow a cholesterol-lowering diet plan.', 'Lipitor is only part of a complete program of treatment that also includes diet, exercise, and weight control. Follow your diet, medication, and exercise routines very closely.']"
568,Liraglutide,Saxenda,Victoza,"['The Victoza brand of liraglutide is used together with diet and exercise to improve blood sugar control in adults and children at least 10 years old who have type 2 diabetes mellitus.', 'Victoza is also used to help reduce the risk of serious heart problems such as heart attack or stroke in adults who have type 2 diabetes and heart disease. Victoza is not for treating type 1 diabetes.', 'The Saxenda brand of liraglutide is used together with diet and exercise to help people lose weight when they have certain health conditions. Saxenda is for use in adults with a body mass index (BMI) of 30 or higher, and for children at least 12 years old who weigh more than 132 pounds (60 kilograms).', 'Saxenda is not for treating type 1 or type 2 diabetes. ', 'Liraglutide may also be used for purposes not listed in this medication guide.']","['Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.', 'Do not use Saxenda and Victoza together.', ""Liraglutide is injected under the skin at any time of the day, with or without a meal. A healthcare provider may teach you how to properly use the medication by yourself. Read and carefully follow any Instructions for Use provided with your medicine. Ask your doctor or pharmacist if you don't understand all instructions."", 'Prepare an injection only when you are ready to give it. Do not use if the medicine has changed colors or has particles in it. Call your pharmacist for new medicine.', 'Call your doctor if you are sick with vomiting or diarrhea. You can easily become dehydrated while using liraglutide. This can lead to kidney failure.', 'You may have low blood sugar (hypoglycemia) and feel very hungry, dizzy, irritable, confused, anxious, or shaky. To quickly treat hypoglycemia, eat or drink a fast-acting source of sugar (fruit juice, hard candy, crackers, raisins, or non-diet soda).', 'Your doctor may prescribe a glucagon injection kit in case you have severe hypoglycemia. Be sure your family or close friends know how to give you this injection in an emergency.', 'Also watch for signs of high blood sugar (hyperglycemia) such as increased thirst or urination.', 'Blood sugar levels can be affected by stress, illness, surgery, exercise, alcohol use, or skipping meals. Ask your doctor before changing your dose or medication schedule.', 'Storing unopened injection pens: Refrigerate and use until the expiration date.', 'Storing after your first use: Store the pen in a refrigerator or at room temperature and use within 30 days.', 'Do not freeze liraglutide, and throw away the medicine if it has become frozen.', 'Use a needle only once and then place it in a puncture-proof ""sharps"" container. Follow state or local laws about how to dispose of this container. Keep it out of the reach of children and pets.', 'Skip the missed dose and use the next regularly scheduled dose. Do not use two doses at one time.', 'Call your doctor for instructions if you miss 3 or more doses of Saxenda.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['Do not use Saxenda and Victoza together.', 'You should not use liraglutide if you have multiple endocrine neoplasia type 2 (tumors in your glands), a personal or family history of medullary thyroid cancer.', 'In animal studies, liraglutide caused thyroid tumors or thyroid cancer. It is not known whether these effects would occur in people using regular doses.', 'Call your doctor at once if you have signs of a thyroid tumor, such as swelling or a lump in your neck, trouble swallowing, a hoarse voice, or shortness of breath.', 'Do not use Saxenda and Victoza together.']"
569,Lisdexamfetamine,Vyvanse,CNS stimulants,"['Lisdexamfetamine is a central nervous system stimulant. It affects chemicals in the brain and nerves that contribute to hyperactivity and impulse control.', 'Lisdexamfetamine is used to treat attention deficit hyperactivity disorder (ADHD) in adults and in children who are at least 6 years old.', 'Lisdexamfetamine is also used to treat moderate to severe binge eating disorder in adults.  lisdexamfetamine is not to be used for obesity or weight loss.', 'Lisdexamfetamine may also be used for purposes not listed in this medication guide.']",[],"['Lisdexamfetamine may be habit-forming, and this medicine is a drug of abuse. Tell your doctor if you have had problems with drug or alcohol abuse.', 'Stimulants have caused stroke, heart attack, and sudden death in people with high blood pressure, heart disease, or a heart defect.', 'Do not use lisdexamfetamine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine.', 'Lisdexamfetamine may cause new or worsening psychosis (unusual thoughts or behavior), especially if you have a history of depression, mental illness, or bipolar disorder.', 'You may have blood circulation problems that can cause numbness, pain, or discoloration in your fingers or toes.', 'Call your doctor right away if you have: signs of heart problems--chest pain, feeling light-headed or short of breath; signs of psychosis--paranoia, aggression, new behavior problems, seeing or hearing things that are not real; signs of circulation problems--unexplained wounds on your fingers or toes.']"
570,Lisinopril,Prinivil,Qbrelis,"['Lisinopril is an ACE inhibitor. ACE stands for angiotensin converting enzyme.', 'Lisinopril is used to treat high blood pressure (hypertension) in adults and children who are at least 6 years old.', 'Lisinopril is also used to treat congestive heart failure in adults, or to improve survival after a heart attack.']","['Usual Adult Dose for Hypertension:', 'Initial dose: 10 mg orally once a day; 5 mg orally once a day\nMaintenance dose: 20 to 40 mg orally once a day\nMaximum dose: 80 mg orally once a day\n\nComments:\n-The initial dose is 5 mg orally once a day in patients receiving a diuretic.\n-The 80 mg dose is used but does not appear to give greater effect.\n-If blood pressure is not controlled with lisinopril alone, a low dose of a diuretic may be added (e.g., hydrochlorothiazide, 12.5 mg). After the addition of a diuretic, it may be possible to reduce the dose of lisinopril.', 'Usual Adult Dose for Congestive Heart Failure:', 'Initial dose: 2.5 to 5 mg orally once a day\nMaintenance dose: Dosage should be increased as tolerated\nMaximum dose: 40 mg orally once a day\n\nComments:\n-The diuretic dose may need to be adjusted to help minimize hypovolemia, which may contribute to hypotension. The appearance of hypotension after the initial dose of lisinopril does not preclude subsequent careful dose titration with the drug.', 'Usual Adult Dose for Myocardial Infarction:', 'Initial dose: 5 mg orally (within 24 hours of the onset of acute myocardial infarction)\nSubsequent doses: 5 mg orally after 24 hours, then 10 mg orally after 48 hours.\nMaintenance dose: 10 mg orally once a day. Dosing should continue for at least 6 weeks.\n\nComments:\n-Therapy should be initiated at 2.5 mg in patients with a low systolic blood pressure (less than or equal to 120 mm Hg and greater than 100 mmHg) during the first 3 days after the infarct. If prolonged hypotension occurs (systolic blood pressure less than 90 mmHg for more than 1 hour) therapy should be withdrawn.', 'Usual Adult Dose for Diabetic Nephropathy:', 'Initial dose: 10 to 20 mg orally once a day\nMaintenance dose: 20 to 40 mg orally once a day\nDosage may be titrated upward every 3 days\n\nComments:\n-Not an approved indication.', 'Usual Geriatric Dose for Hypertension:', 'Initial dose: 2.5 to 5 mg orally once a day\nMaintenance dose: Dosages should be increased at 2.5 mg to 5 mg per day at 1 to 2 week intervals.\nMaximum dose: 40 mg orally once a day', 'Usual Pediatric Dose for Hypertension:', 'Pediatric patients greater than or equal to 6 years of age:\nInitial dose: 0.07 mg/kg orally once a day (Maximum initial dose is 5 mg once a day)\nMaintenance dose: Dosage should be adjusted according to blood pressure response at 1 to 2 week intervals.\nMaximum dose: Doses above 0.61 mg/kg or greater than 40 mg have not been studied in pediatric patients\n\nComments:\n-This drug is not recommended in pediatric patients less than 6 years old or in pediatric patients with glomerular filtration rate less than 30 mL/min.', 'Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['Do not use lisinopril if you are pregnant. It could harm the unborn baby. Stop using this medicine and tell your doctor right away if you become pregnant.', 'You should not use this medicine if you have ever had angioedema. Do not take lisinopril within 36 hours before or after taking medicine that contains sacubitril (such as Entresto).', 'If you have diabetes, do not use lisinopril together with any medication that contains aliskiren (such as Amturnide, Tekturna, Tekamlo).', 'You may also need to avoid taking lisinopril with aliskiren if you have kidney disease.', 'You may also need to avoid taking lisinopril with aliskiren if you have kidney disease.']"
571,Lithium,Lithobid,Eskalith,"['Lithium affects the flow of sodium through nerve and muscle cells in the body. Sodium affects excitation or mania.', 'Lithium a mood stabilizer that is a used to treat or control the manic episodes of bipolar disorder (manic depression). Manic symptoms include hyperactivity, rushed speech, poor judgment, reduced need for sleep, aggression, and anger.', 'Lithium also helps to prevent or lessen the intensity of manic episodes.', 'Lithium is for use in adults and children at least 7 years old.']","['Usual Adult Dose for Mania:', 'Acute Control:\n-Usual dose: 1800 mg/day\n-Extended release formulations: 900 mg orally in the morning and at nighttime\n-Regular release formulations: 600 mg orally 3 times a day, in the morning, afternoon, and nighttime\n\nLong-term Control:\n-Maintenance dose: 900 to 1200 mg/day\n-Extended release formulations: 600 mg orally in the morning and at nighttime\n-Regular release formulations: 300 mg orally 3 to 4 times a day\n\nUses:\n-Treatment of manic episodes of bipolar disorder\n-Maintenance treatment for individuals with bipolar disorder', 'Usual Adult Dose for Bipolar Disorder:', 'Acute Control:\n-Usual dose: 1800 mg/day\n-Extended release formulations: 900 mg orally in the morning and at nighttime\n-Regular release formulations: 600 mg orally 3 times a day, in the morning, afternoon, and nighttime\n\nLong-term Control:\n-Maintenance dose: 900 to 1200 mg/day\n-Extended release formulations: 600 mg orally in the morning and at nighttime\n-Regular release formulations: 300 mg orally 3 to 4 times a day\n\nUses:\n-Treatment of manic episodes of bipolar disorder\n-Maintenance treatment for individuals with bipolar disorder', 'Usual Pediatric Dose for Mania:', '12 years and older:\nAcute Control:\n-Usual dose: 1800 mg/day\n-Extended release formulations: 900 mg orally in the morning and at nighttime\n-Regular release formulations: 600 mg orally 3 times a day, in the morning, afternoon, and nighttime\n\nLong-term Control:\n-Maintenance dose: 900 to 1200 mg/day\n-Extended release formulations: 600 mg orally in the morning and at nighttime\n-Regular release formulations: 300 mg orally 3 to 4 times a day\n\nUses:\n-Treatment of manic episodes of bipolar disorder\n-Maintenance treatment for individuals with bipolar disorder', 'Usual Pediatric Dose for Bipolar Disorder:', '12 years and older:\nAcute Control:\n-Usual dose: 1800 mg/day\n-Extended release formulations: 900 mg orally in the morning and at nighttime\n-Regular release formulations: 600 mg orally 3 times a day, in the morning, afternoon, and nighttime\n\nLong-term Control:\n-Maintenance dose: 900 to 1200 mg/day\n-Extended release formulations: 600 mg orally in the morning and at nighttime\n-Regular release formulations: 300 mg orally 3 to 4 times a day\n\nUses:\n-Treatment of manic episodes of bipolar disorder\n-Maintenance treatment for individuals with bipolar disorder', 'Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.', 'Stop taking lithium and seek emergency medical attention or call the Poison Help line at 1-800-222-1222.', 'Early signs of toxicity include: vomiting, diarrhea, drowsiness, muscle weakness, or loss of coordination.']","['Do not use lithium without telling your doctor if you are pregnant. It could cause harm to the unborn baby. Use an effective form of birth control, and tell your doctor if you become pregnant during treatment.', 'Lithium toxicity can cause death. Lithium is a medicine with a narrow range of safety and toxicity can occur if you take only slightly more than a recommended dose.', 'Stop using lithium and call your doctor right away if you have symptoms of lithium toxicity: muscle weakness, twitching, drowsiness, feeling light-headed, mood changes, blurred vision, ringing in your ears, irregular heartbeats, confusion, slurred speech, clumsiness. trouble breathing, or seizures.', 'Do not crush, chew, or break an extended-release tablet. Swallow the pill whole. Drink extra fluids to keep from getting dehydrated while you are taking this medication.', 'Tell your doctor if you have been sweating excessively, or if you are sick with fever, vomiting, or diarrhea.', ""Avoid becoming overheated or dehydrated during exercise and in hot weather. Follow your doctor's instructions about the type and amount of liquids you should drink. In some cases, drinking too much liquid can be as unsafe as not drinking enough."", 'Lithium can cause side effects that may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be awake and alert.']"
572,Loestrin 24 Fe ,ethinyl estradiol and norethindrone acetate,Contraceptives,"['Lo Loestrin Fe is a low-dose combination birth control pill (oral contraceptive) containing two different female hormones. It helps to prevent pregnancy.', 'Lo Loestrin Fe contains an estrogen called ethinyl estradiol and a progestin called norethindrone acetate. Lo Loestrin Fe works primarily by suppressing ovulation, which is when an egg is release from one of your ovaries each month. Combined birth control pills, such as this one, also work by thickening the mucus at the neck of the uterus (womb). This makes it harder for sperm to get through and reach an egg. They also thin the lining of the uterus, which reduces the chances of a fertilized egg implanting and growing.', 'Lo Loestrin Fe was approved for use by the US Food and Drug Administration (FDA) in 2010. A generic version of Lo Loestrin Fe has not been approved.', 'Lo Loestrin Fe is a prescription medication used by women who want to prevent pregnancy.']",None,"['Warning To Women Who Smoke', 'Do not use Lo Loestrin Fe if you smoke cigarettes and are over 35 years old. Smoking increases your risk of serious cardiovascular side effects (heart and blood vessel problems) from birth control pills, including death from heart attack, blood clots or stroke. This risk increases with age and the number of cigarettes you smoke.', 'Birth control pills help to lower the chances of becoming pregnant when taken as directed. They do not protect against HIV infection (AIDS) and other sexually transmitted diseases.', 'Do not skip any pills, even if you do not have sex often.', 'If you miss a period, you could be pregnant. However, some women miss periods or have light periods on birth control pills, even when they are not pregnant. Contact your healthcare provider for advice if you:', 'You should stop Lo Loestrin Fe at least four weeks before you have surgery and not restart it until at least two weeks after the surgery, due to an increased risk of blood clots.', 'If you have vomiting or diarrhea, your birth control pills may not work as well. Use another birth control method, like a condom and spermicide, until you check with your healthcare provider.', 'If you are scheduled for any laboratory tests, tell your healthcare provider that you are taking birth control pills. Certain blood tests may be affected by birth control pills.', 'Your chance of getting pregnant depends on how well you follow the directions for taking your birth control pills. The better you follow the directions, the less chance you have of getting pregnant.', 'Based on the results of one clinical study, about 2 to 4 out of 100 women may get pregnant during the first year they use Lo Loestrin Fe.', 'Women with a BMI above 35 kg/m2 were not studied in the clinical trial, so it is not known how well this medication protects against pregnancy in such women. If you are overweight, discuss with your healthcare provider whether Lo Loestrin Fe is the best choice for you.', 'Birth control pills are:']"
573,Lofexidine,Lucemyra,"Antiadrenergic agents, centrally acting","['Lofexidine works by blocking the release of norepinephrine, a hormone similar to adrenaline that contributes to opioid withdrawal symptoms.', 'Lofexidine is a non-opioid prescription medicine used in adults to help with the symptoms of opioid withdrawal that may happen when you stop taking an opioid suddenly.', 'Lofexidine will not completely prevent the symptoms of opioid withdrawal, which may include feeling sick, stomach cramps, muscle spasms or twitching, feeling of cold, heart pounding, muscular tension, aches and pains, yawning, runny eyes and sleep problems (insomnia).', 'Lofexidine will not treat opioid addiction. If you have been diagnosed with opioid addiction, your healthcare provider may prescribe this medicine as part of a complete treatment program for your opioid use disorder.']","['Usual Adult Dose for Opiate Withdrawal:', 'Initial dose: 0.54 mg orally 4 times a day during period of peak withdrawal\n-Dosing should be guided by symptoms and side effects\nFrequency of dosing: Every 5 to 6 hours\nMaximum single dose: 0.72 mg\nMaximum daily dose: 2.88 mg/day\nMaximum duration of therapy: 14 days\n\nComments:\n-The period of peak withdrawal symptoms is generally the first 5 to 7 days following last use of opioid.\n-Treatment may be continued for up to 14 days with dosing guided by symptoms; lower doses may be appropriate as opioid withdrawal symptoms wane.\n-Discontinuation should occur over a 2 to 4-day period to mitigate withdrawal effects of lofexidine (e.g. reducing by 1 tablet per dose every 1 to 2 days).\n\nUse: For the mitigation of opioid withdrawal symptoms to facilitate abrupt opioid discontinuation.', 'Use the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not use two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.', 'slow heartbeats;', 'low blood pressure;']","['Lofexidine can cause serious side effects on your heart or blood vessels. Call your doctor at once if you have slow heartbeats, severe dizziness, or if you feel faint. Do not take another dose of lofexidine until you have talked to your doctor.', 'Avoid driving and doing other tasks or actions that call for you to be alert until you see how lofexidine affects you.', 'Avoid becoming overheated or dehydrated, or you could have very low blood pressure. Avoid getting up too fast from a sitting or lying position, or you may feel dizzy.', ""You should not stop using lofexidine suddenly. Follow your doctor's instructions about tapering your dose."", 'High blood pressure, anxiety, arm or leg pain, chills, diarrhea, trouble sleeping, and sweating a lot have happened when this medicine was stopped all of a sudden.', 'Lofexidine is not used to keep a drug-free state. People who have stopped taking opioid drugs may have more risk of side effects if they take opioid drugs again. This includes a raised chance of overdose and death.']"
574,Lokelma,sodium zirconium cyclosilicate,Cation exchange resins,"['Lokelma is used to treat hyperkalemia (high levels of potassium in the blood) in adults.', 'Lokelma works directly in the intestines and is not absorbed into your bloodstream.', 'Lokelma may also be used for purposes not listed in this medication guide.']","['Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.', 'Read and carefully follow any Instructions for Use provided with your medicine. Ask your doctor or pharmacist if you do not understand these instructions.', 'You will need medical tests to help your doctor determine how long to treat you with Lokelma.', 'Store at room temperature away from moisture and heat.', 'Lokelma can make it harder for your body to absorb other medicines you take by mouth. If you take any other medicines, take them 2 hours before or 2 hours after you take this medicine.', 'Use the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not use two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.']"
575,Lomotil,atropine and diphenoxylate,Antidiarrheals,"['Atropine affects the body in many different ways, such as reducing spasms in the bladder, stomach, and intestines.', 'Diphenoxylate is an antidiarrheal medication.', 'Lomotil is a combination medicine used to treat diarrhea in adults and children who are at least 13 years old.', 'Lomotil may also be used for purposes not listed in this medication guide.']","['Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.', 'Measure liquid medicine carefully. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).', 'Drink plenty of liquids to keep from getting dehydrated while you have diarrhea. Your doctor may recommend an electrolyte supplement such as Gatorade or Pedialyte. Carefully follow all care instructions.', 'It may take up to 48 hours before your symptoms improve. Keep using the medication as directed. Call your doctor if you still have diarrhea after 10 days, or if you have a fever.', 'Store at room temperature away from moisture and heat.', 'Keep  Lomotil where a child cannot reach it. An overdose of atropine and diphenoxylate can be fatal to a child.', 'Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. An overdose of  Lomotil can cause breathing problems and may result in death or permanent brain damage.', 'Early overdose symptoms include weakness, blurred vision, slurred speech, feeling hot, fast heartbeats, slowed breathing, fainting, seizure, or coma. Report any early overdose symptoms to your doctor as soon as possible.']","['Do not use  Lomotil if you have diarrhea that is caused by bacteria or by taking an antibiotic. You should not use Lomotil if you have a bile duct disorder causing jaundice (yellowing of your skin or eyes).', 'Keep this medicine where a child cannot reach it. An overdose can be fatal to a child.']"
576,Loperamide,Diamode,Imotil,"['Loperamide may be used to treat diarrhea or to reduce the amount of stool (poop) in people who have an ileostomy (which is when a surgeon re-routes your bowel through a small opening in your torso).', 'Loperamide works by acting on mu-opioid receptors in the gut to slow down the movement of the gut, which in turn, slows down contractions in the intestines. This allows more time for fluids and nutrients to be absorbed back into the body, which makes the stool less watery and decreases the number of times you go to the toilet.', 'Loperamide was FDA approved in 1976 and is available on prescription and over the counter.']","['Use loperamide exactly as directed on the label, or as prescribed by your doctor.', 'Loperamide is safe when used as directed. TAKING TOO MUCH LOPERAMIDE CAN CAUSE SERIOUS HEART PROBLEMS OR DEATH.', 'The usual adult dosage of loperamide for both acute and chronic diarrhea is 4 mg orally after the first loose stool, then 2 mg orally after each unformed stool. You should not take more than 16mg (8 capsules) per day.', 'Clinical improvement is usually seen within 48 hours.', 'The usual dosage of loperamide for a child varies depending on their age and weight. Always follow the directions on the label when giving loperamide to a child. A safe dose of loperamide is different for an adult than for a child.', 'Take loperamide with a full glass of water. Diarrhea can cause your body to lose fluids and electrolytes. Drink plenty of liquids to keep from getting dehydrated.', 'The loperamide chewable tablet must be chewed before swallowing.', 'Shake the oral suspension (liquid) before you measure a dose. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).', 'Not all liquid forms of loperamide are the same strengths. Carefully follow all dosing instructions for the medicine you are using.', 'Store at room temperature away from moisture and heat. Do not allow the liquid medicine to freeze.', 'Stop taking loperamide and call your doctor if you still have diarrhea after 2 days of treatment, or if you also have stomach bloating.', 'Most people just take loperamide on an ""as needed"" basis and do not have a daily dosing schedule. If you miss a dose, you don\'t need to do anything.', 'If you are taking loperamide to reduce your frequency of bowel motions after an ileostomy, you may have a dosing schedule. Take the missed dose as soon as you remember but if it is almost time for the next dose, just skip that dose. Do not take two doses at once.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. An overdose of loperamide can be fatal.', 'Overdose symptoms may include fast or irregular heartbeats, or fainting. A person caring for you should seek emergency medical attention if you pass out and are hard to wake up.', 'Never exceed the recommended dose for loperamide. The maximum dosage of loperamide in adults and children over the age of 13 years is 16mg (eight capsules) per day (24 hours).']","['You should not use loperamide if you have ulcerative colitis, bloody or tarry stools, diarrhea with a high fever, or diarrhea caused by antibiotic medication.', 'Loperamide is safe when used as directed. TAKING TOO MUCH LOPERAMIDE CAN CAUSE SERIOUS HEART PROBLEMS OR DEATH.', 'Serious heart problems may also happen if you take loperamide with other medicines. Ask a doctor or pharmacist about safely using medications together.', 'Do not give loperamide to a child younger than 2 years old.', 'Loperamide is safe when used as directed. TAKING TOO MUCH LOPERAMIDE CAN CAUSE SERIOUS HEART PROBLEMS OR DEATH.']"
577,Lopressor,metoprolol tartrate,Cardioselective beta blockers,None,None,None
578,Loqtorzi,toripalimab,"Melisa Puckey, BPharm",None,None,None
579,Loratadine,Alavert,Claritin,"['Loratadine is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose.', 'Loratadine is used to treat sneezing, runny nose, watery eyes, hives, skin rash, hay fever, itching, and other cold or allergy symptoms.', 'Loratadine is also used to treat skin hives and itching in people with chronic skin reactions']","['Usual Adult Dose for Allergic Rhinitis:', '10 mg orally once a day\n-Maximum dose: 10 mg/day\n\nUse: Temporary relief of symptoms associated with hay fever or other upper respiratory allergies (e.g., runny nose, itchy, watery eyes, sneezing, itching of the nose/throat)', 'Usual Adult Dose for Urticaria:', '10 mg orally once a day\n-Maximum dose: 10 mg/day\n\nUse: Temporary relief of symptoms associated with hay fever or other upper respiratory allergies (e.g., runny nose, itchy, watery eyes, sneezing, itching of the nose/throat)', 'Usual Pediatric Dose for Allergic Rhinitis:', '2 to 5 years: 5 mg orally once a day\n-Maximum dose: 5 mg/day\n\n6 years and older: 10 mg orally once a day\n-Maximum dose: 10 mg/day\n\nUse: Temporary relief of symptoms associated with hay fever or other upper respiratory allergies (e.g., runny nose, itchy, watery eyes, sneezing, itching of the nose/throat)', 'Usual Pediatric Dose for Urticaria:', '2 to 5 years: 5 mg orally once a day\n-Maximum dose: 5 mg/day\n\n6 years and older: 10 mg orally once a day\n-Maximum dose: 10 mg/day\n\nUse: Temporary relief of symptoms associated with hay fever or other upper respiratory allergies (e.g., runny nose, itchy, watery eyes, sneezing, itching of the nose/throat)', 'Other drugs may interact with loratadine, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell each of your health care providers about all medicines you use now and any medicine you start or stop using.', 'Loratadine is used when needed. Do not use loratadine more than once in a 24-hour period. Do not use two doses at one time.', 'Overdose symptoms may include headache, drowsiness, and fast or pounding heartbeat.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['You should not take this medication if you are allergic to loratadine or to desloratadine (Clarinex).', 'Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.', 'Some chewable dosage forms of loratadine may contain phenylalanine. Talk to your doctor before using these forms of loratadine if you have phenylketonuria (PKU).', 'Ask a doctor or pharmacist before taking this medicine if you have liver or kidney disease.']"
